"id","comment","label","language","aspect","source","duplicate_group"
"1","The manual text input works smoothly and makes the analysis feel reliable.","positive","english","manual text input","manual","unique-1"
"2","The CSV upload feels slow and needs clearer feedback.","negative","english","CSV upload","csv","unique-2"
"3","The column selection is available and performs the basic task.","neutral","english","column selection","review","unique-3"
"4","Free sentiment tool premium access for duplicate detection, click this link now.","spam","english","duplicate detection","chat","unique-4"
"5","sentiment model bahut smooth hai, analysis karna easy lagta hai.","positive","hinglish","sentiment model","survey","unique-5"
"6","spam detection thoda confusing hai, user ko clear guidance chahiye.","negative","hinglish","spam detection","test-case","unique-6"
"7","Hinglish handling normal kaam karta hai, kuch khas issue nahi mila.","neutral","hinglish","Hinglish handling","manual","unique-7"
"8","Hindi comments ke liye free paisa offer, abhi click karo.","spam","hinglish","Hindi comments","csv","unique-8"
"9","English comments बहुत अच्छा काम करता है और परिणाम साफ दिखते हैं।","positive","hindi","English comments","review","unique-9"
"10","results dashboard थोड़ा धीमा है और सुधार की जरूरत है।","negative","hindi","results dashboard","chat","unique-10"
"11","charts सामान्य तरीके से काम करता है।","neutral","hindi","charts","survey","unique-11"
"12","confidence scores के लिए मुफ्त इनाम पाने के लिए अभी लिंक खोलें।","spam","hindi","confidence scores","test-case","unique-12"
"13","I like how the word cloud is clear, fast, and easy to understand.","positive","english","word cloud","manual","unique-13"
"14","I found the comment filtering confusing during testing.","negative","english","comment filtering","csv","unique-14"
"15","I used the CSV export once and it worked in an ordinary way.","neutral","english","CSV export","review","unique-15"
"16","Win cash by reviewing backend API, claim your reward today.","spam","english","backend API","chat","unique-16"
"17","Mujhe loading progress ka flow kaafi clear aur useful laga.","positive","hinglish","loading progress","survey","unique-17"
"18","mobile layout slow lagta hai jab comments zyada hote hain.","negative","hinglish","mobile layout","test-case","unique-18"
"19","error messages theek hai, basic requirement complete ho jati hai.","neutral","hinglish","error messages","manual","unique-19"
"20","overall workflow review karo aur instant cash jeeto, link open karo.","spam","hinglish","overall workflow","csv","unique-20"
"21","manual text input उपयोग करने में आसान है और समय बचाता है।","positive","hindi","manual text input","review","unique-21"
"22","CSV upload इस्तेमाल करते समय उलझन होती है।","negative","hindi","CSV upload","chat","unique-22"
"23","column selection में जरूरी विकल्प उपलब्ध हैं।","neutral","hindi","column selection","survey","unique-23"
"24","duplicate detection पर कैश जीतें, तुरंत अपना नंबर भेजें।","spam","hindi","duplicate detection","test-case","unique-24"
"25","The sentiment model gives useful output and saves a lot of review time.","positive","english","sentiment model","manual","unique-25"
"26","The spam detection did not behave as expected with messy comments.","negative","english","spam detection","csv","unique-26"
"27","The Hinglish handling shows the expected information without any major issue.","neutral","english","Hinglish handling","review","unique-27"
"28","Limited offer for Hindi comments, send your number for instant bonus.","spam","english","Hindi comments","chat","unique-28"
"29","English comments mast kaam karta hai, time bhi save hota hai.","positive","hinglish","English comments","survey","unique-29"
"30","Mujhe results dashboard ka result reliable nahi laga.","negative","hinglish","results dashboard","test-case","unique-30"
"31","charts expected tarike se chal raha hai.","neutral","hinglish","charts","manual","unique-31"
"32","confidence scores bonus claim karne ke liye mobile number bhejo.","spam","hinglish","confidence scores","csv","unique-32"
"33","word cloud से विश्लेषण भरोसेमंद लगता है।","positive","hindi","word cloud","review","unique-33"
"34","comment filtering का परिणाम हमेशा भरोसेमंद नहीं लगता।","negative","hindi","comment filtering","chat","unique-34"
"35","CSV export ने अपेक्षित काम पूरा किया।","neutral","hindi","CSV export","survey","unique-35"
"36","backend API बोनस पाने के लिए ओटीपी शेयर करें।","spam","hindi","backend API","test-case","unique-36"
"37","Great job on the loading progress; it feels polished and practical.","positive","english","loading progress","manual","unique-37"
"38","The mobile layout needs improvement because the result is hard to trust.","negative","english","mobile layout","csv","unique-38"
"39","The error messages is functional, but nothing special stands out.","neutral","english","error messages","review","unique-39"
"40","Earn money daily using overall workflow, register now and get paid.","spam","english","overall workflow","chat","unique-40"
"41","manual text input se results samajhna simple ho gaya.","positive","hinglish","manual text input","survey","unique-41"
"42","CSV upload me error message clear nahi aata.","negative","hinglish","CSV upload","test-case","unique-42"
"43","column selection average hai, na bahut good na bad.","neutral","hinglish","column selection","manual","unique-43"
"44","duplicate detection se daily earning start karo, register now.","spam","hinglish","duplicate detection","csv","unique-44"
"45","sentiment model का इंटरफेस साफ और उपयोगी है।","positive","hindi","sentiment model","review","unique-45"
"46","spam detection में गलती आने पर संदेश साफ नहीं होता।","negative","hindi","spam detection","chat","unique-46"
"47","Hinglish handling ठीक है, कोई बड़ी समस्या नहीं दिखी।","neutral","hindi","Hinglish handling","survey","unique-47"
"48","Hindi comments से रोज कमाई करें, अभी रजिस्टर करें।","spam","hindi","Hindi comments","test-case","unique-48"
"49","The English comments is accurate enough for testing real customer feedback.","positive","english","English comments","manual","unique-49"
"50","CSV upload इस्तेमाल करते समय उलझन होती है।","negative","english","results dashboard","csv","unique-22"
"51","The charts completes the workflow as expected.","neutral","english","charts","review","unique-51"
"52","Cheap promotion for confidence scores, buy followers and boost reviews fast.","spam","english","confidence scores","chat","unique-52"
"53","Project ka word cloud kaafi professional feel deta hai.","positive","hinglish","word cloud","survey","unique-53"
"54","comment filtering use karte waqt flow break ho jata hai.","negative","hinglish","comment filtering","test-case","unique-54"
"55","CSV export ka output simple aur usable hai.","neutral","hinglish","CSV export","manual","unique-55"
"56","backend API ka secret hack chahiye to abhi message karo.","spam","hinglish","backend API","csv","unique-56"
"57","loading progress ने पूरे प्रोजेक्ट को बेहतर बना दिया है।","positive","hindi","loading progress","review","unique-57"
"58","mobile layout बड़े डेटा पर अच्छा अनुभव नहीं देता।","negative","hindi","mobile layout","chat","unique-58"
"59","error messages का अनुभव औसत रहा।","neutral","hindi","error messages","survey","unique-59"
"60","Limited offer for Hindi comments, send your number for instant bonus.","spam","hindi","overall workflow","test-case","unique-28"
"61","The manual text input helps me trust the sentiment results more.","positive","english","manual text input","manual","unique-61"
"62","I had trouble using the CSV upload on repeated test runs.","negative","english","CSV upload","csv","unique-62"
"63","The column selection provides standard behavior for a sentiment tool.","neutral","english","column selection","review","unique-63"
"64","Urgent verification for duplicate detection, click now before account closes.","spam","english","duplicate detection","chat","unique-64"
"65","sentiment model fast hai aur user ko confuse nahi karta.","positive","hinglish","sentiment model","survey","unique-65"
"66","spam detection mobile par properly comfortable nahi laga.","negative","hinglish","spam detection","test-case","unique-66"
"67","Hinglish handling project testing ke liye okay hai.","neutral","hinglish","Hinglish handling","manual","unique-67"
"68","Hindi comments free upgrade ke liye OTP share karo.","spam","hinglish","Hindi comments","csv","unique-68"
"69","English comments तेज है और सही जानकारी देता है।","positive","hindi","English comments","review","unique-69"
"70","Mujhe results dashboard ka result reliable nahi laga.","negative","hindi","results dashboard","chat","unique-30"
"71","charts परीक्षण के लिए उपयोगी है।","neutral","hindi","charts","survey","unique-71"
"72","confidence scores फ्री अपग्रेड पाने के लिए खाता सत्यापित करें।","spam","hindi","confidence scores","test-case","unique-72"
"73","I had a very good experience using the word cloud.","positive","english","word cloud","manual","unique-73"
"74","The comment filtering should show better errors when something fails.","negative","english","comment filtering","csv","unique-74"
"75","The CSV export is acceptable for normal project testing.","neutral","english","CSV export","review","unique-75"
"76","Guaranteed profit with backend API, message us for secret method.","spam","english","backend API","chat","unique-76"
"77","loading progress ka output mostly accurate aur helpful hai.","positive","hinglish","loading progress","survey","unique-77"
"78","mobile layout ko aur testing ki zarurat hai.","negative","hinglish","mobile layout","test-case","unique-78"
"79","error messages me basic options available hain.","neutral","hinglish","error messages","manual","unique-79"
"80","backend API बोनस पाने के लिए ओटीपी शेयर करें।","spam","hinglish","overall workflow","csv","unique-36"
"81","manual text input की वजह से फीडबैक समझना आसान हुआ।","positive","hindi","manual text input","review","unique-81"
"82","CSV upload को और बेहतर परीक्षण चाहिए।","negative","hindi","CSV upload","chat","unique-82"
"83","column selection में बुनियादी जानकारी मिल जाती है।","neutral","hindi","column selection","survey","unique-83"
"84","duplicate detection पर गारंटीड पैसा, मौका सीमित है।","spam","hindi","duplicate detection","test-case","unique-84"
"85","The sentiment model is simple for beginners and still useful for advanced users.","positive","english","sentiment model","manual","unique-85"
"86","The spam detection feels unfinished compared with the rest of the app.","negative","english","spam detection","csv","unique-86"
"87","The Hinglish handling has the required options and basic output.","neutral","english","Hinglish handling","review","unique-87"
"88","Get free gift card for Hindi comments, share OTP to confirm prize.","spam","english","Hindi comments","chat","unique-88"
"89","English comments beginner ke liye bhi easy hai.","positive","hinglish","English comments","survey","unique-89"
"90","The mobile layout needs improvement because the result is hard to trust.","negative","hinglish","results dashboard","test-case","unique-38"
"91","charts ka experience neutral laga.","neutral","hinglish","charts","manual","unique-91"
"92","confidence scores gift voucher winner, details send karo now.","spam","hinglish","confidence scores","csv","unique-92"
"93","word cloud नए यूजर के लिए भी सरल है।","positive","hindi","word cloud","review","unique-93"
"94","comment filtering बाकी हिस्सों जितना मजबूत नहीं लगता।","negative","hindi","comment filtering","chat","unique-94"
"95","CSV export न बहुत अच्छा है न बहुत खराब।","neutral","hindi","CSV export","survey","unique-95"
"96","backend API गिफ्ट कार्ड जीतने के लिए विवरण भेजें।","spam","hindi","backend API","test-case","unique-96"
"97","The loading progress works smoothly and makes the analysis feel reliable.","positive","english","loading progress","manual","unique-97"
"98","The mobile layout feels slow and needs clearer feedback.","negative","english","mobile layout","csv","unique-98"
"99","The error messages is available and performs the basic task.","neutral","english","error messages","review","unique-99"
"100","duplicate detection se daily earning start karo, register now.","spam","english","overall workflow","chat","unique-44"
"101","manual text input bahut smooth hai, analysis karna easy lagta hai.","positive","hinglish","manual text input","survey","unique-101"
"102","CSV upload thoda confusing hai, user ko clear guidance chahiye.","negative","hinglish","CSV upload","test-case","unique-102"
"103","column selection normal kaam karta hai, kuch khas issue nahi mila.","neutral","hinglish","column selection","manual","unique-103"
"104","duplicate detection ke liye free paisa offer, abhi click karo.","spam","hinglish","duplicate detection","csv","unique-104"
"105","sentiment model बहुत अच्छा काम करता है और परिणाम साफ दिखते हैं।","positive","hindi","sentiment model","review","unique-105"
"106","spam detection थोड़ा धीमा है और सुधार की जरूरत है।","negative","hindi","spam detection","chat","unique-106"
"107","Hinglish handling सामान्य तरीके से काम करता है।","neutral","hindi","Hinglish handling","survey","unique-107"
"108","Hindi comments के लिए मुफ्त इनाम पाने के लिए अभी लिंक खोलें।","spam","hindi","Hindi comments","test-case","unique-108"
"109","I like how the English comments is clear, fast, and easy to understand.","positive","english","English comments","manual","unique-109"
"110","spam detection में गलती आने पर संदेश साफ नहीं होता।","negative","english","results dashboard","csv","unique-46"
"111","I used the charts once and it worked in an ordinary way.","neutral","english","charts","review","unique-111"
"112","Win cash by reviewing confidence scores, claim your reward today.","spam","english","confidence scores","chat","unique-112"
"113","Mujhe word cloud ka flow kaafi clear aur useful laga.","positive","hinglish","word cloud","survey","unique-113"
"114","comment filtering slow lagta hai jab comments zyada hote hain.","negative","hinglish","comment filtering","test-case","unique-114"
"115","CSV export theek hai, basic requirement complete ho jati hai.","neutral","hinglish","CSV export","manual","unique-115"
"116","backend API review karo aur instant cash jeeto, link open karo.","spam","hinglish","backend API","csv","unique-116"
"117","loading progress उपयोग करने में आसान है और समय बचाता है।","positive","hindi","loading progress","review","unique-117"
"118","mobile layout इस्तेमाल करते समय उलझन होती है।","negative","hindi","mobile layout","chat","unique-118"
"119","error messages में जरूरी विकल्प उपलब्ध हैं।","neutral","hindi","error messages","survey","unique-119"
"120","Cheap promotion for confidence scores, buy followers and boost reviews fast.","spam","hindi","overall workflow","test-case","unique-52"
"121","The manual text input gives useful output and saves a lot of review time.","positive","english","manual text input","manual","unique-121"
"122","The CSV upload did not behave as expected with messy comments.","negative","english","CSV upload","csv","unique-122"
"123","The column selection shows the expected information without any major issue.","neutral","english","column selection","review","unique-123"
"124","Limited offer for duplicate detection, send your number for instant bonus.","spam","english","duplicate detection","chat","unique-124"
"125","sentiment model mast kaam karta hai, time bhi save hota hai.","positive","hinglish","sentiment model","survey","unique-125"
"126","Mujhe spam detection ka result reliable nahi laga.","negative","hinglish","spam detection","test-case","unique-126"
"127","Hinglish handling expected tarike se chal raha hai.","neutral","hinglish","Hinglish handling","manual","unique-127"
"128","Hindi comments bonus claim karne ke liye mobile number bhejo.","spam","hinglish","Hindi comments","csv","unique-128"
"129","English comments से विश्लेषण भरोसेमंद लगता है।","positive","hindi","English comments","review","unique-129"
"130","mobile layout बड़े डेटा पर अच्छा अनुभव नहीं देता।","negative","hindi","results dashboard","chat","unique-58"
"131","charts ने अपेक्षित काम पूरा किया।","neutral","hindi","charts","survey","unique-131"
"132","confidence scores बोनस पाने के लिए ओटीपी शेयर करें।","spam","hindi","confidence scores","test-case","unique-132"
"133","Great job on the word cloud; it feels polished and practical.","positive","english","word cloud","manual","unique-133"
"134","The comment filtering needs improvement because the result is hard to trust.","negative","english","comment filtering","csv","unique-134"
"135","The CSV export is functional, but nothing special stands out.","neutral","english","CSV export","review","unique-135"
"136","Earn money daily using backend API, register now and get paid.","spam","english","backend API","chat","unique-136"
"137","loading progress se results samajhna simple ho gaya.","positive","hinglish","loading progress","survey","unique-137"
"138","mobile layout me error message clear nahi aata.","negative","hinglish","mobile layout","test-case","unique-138"
"139","error messages average hai, na bahut good na bad.","neutral","hinglish","error messages","manual","unique-139"
"140","Urgent verification for duplicate detection, click now before account closes.","spam","hinglish","overall workflow","csv","unique-64"
"141","manual text input का इंटरफेस साफ और उपयोगी है।","positive","hindi","manual text input","review","unique-141"
"142","CSV upload में गलती आने पर संदेश साफ नहीं होता।","negative","hindi","CSV upload","chat","unique-142"
"143","column selection ठीक है, कोई बड़ी समस्या नहीं दिखी।","neutral","hindi","column selection","survey","unique-143"
"144","duplicate detection से रोज कमाई करें, अभी रजिस्टर करें।","spam","hindi","duplicate detection","test-case","unique-144"
"145","The sentiment model is accurate enough for testing real customer feedback.","positive","english","sentiment model","manual","unique-145"
"146","The spam detection sometimes makes the workflow frustrating.","negative","english","spam detection","csv","unique-146"
"147","The Hinglish handling completes the workflow as expected.","neutral","english","Hinglish handling","review","unique-147"
"148","Cheap promotion for Hindi comments, buy followers and boost reviews fast.","spam","english","Hindi comments","chat","unique-148"
"149","Project ka English comments kaafi professional feel deta hai.","positive","hinglish","English comments","survey","unique-149"
"150","spam detection mobile par properly comfortable nahi laga.","negative","hinglish","results dashboard","test-case","unique-66"
"151","charts ka output simple aur usable hai.","neutral","hinglish","charts","manual","unique-151"
"152","confidence scores ka secret hack chahiye to abhi message karo.","spam","hinglish","confidence scores","csv","unique-152"
"153","word cloud ने पूरे प्रोजेक्ट को बेहतर बना दिया है।","positive","hindi","word cloud","review","unique-153"
"154","comment filtering बड़े डेटा पर अच्छा अनुभव नहीं देता।","negative","hindi","comment filtering","chat","unique-154"
"155","CSV export का अनुभव औसत रहा।","neutral","hindi","CSV export","survey","unique-155"
"156","backend API का गुप्त तरीका चाहिए तो तुरंत संदेश भेजें।","spam","hindi","backend API","test-case","unique-156"
"157","The loading progress helps me trust the sentiment results more.","positive","english","loading progress","manual","unique-157"
"158","I had trouble using the mobile layout on repeated test runs.","negative","english","mobile layout","csv","unique-158"
"159","The error messages provides standard behavior for a sentiment tool.","neutral","english","error messages","review","unique-159"
"160","confidence scores फ्री अपग्रेड पाने के लिए खाता सत्यापित करें।","spam","english","overall workflow","chat","unique-72"
"161","manual text input fast hai aur user ko confuse nahi karta.","positive","hinglish","manual text input","survey","unique-161"
"162","CSV upload mobile par properly comfortable nahi laga.","negative","hinglish","CSV upload","test-case","unique-162"
"163","column selection project testing ke liye okay hai.","neutral","hinglish","column selection","manual","unique-163"
"164","duplicate detection free upgrade ke liye OTP share karo.","spam","hinglish","duplicate detection","csv","unique-164"
"165","sentiment model तेज है और सही जानकारी देता है।","positive","hindi","sentiment model","review","unique-165"
"166","spam detection की वजह से काम बीच में रुकता हुआ लगता है।","negative","hindi","spam detection","chat","unique-166"
"167","Hinglish handling परीक्षण के लिए उपयोगी है।","neutral","hindi","Hinglish handling","survey","unique-167"
"168","Hindi comments फ्री अपग्रेड पाने के लिए खाता सत्यापित करें।","spam","hindi","Hindi comments","test-case","unique-168"
"169","I had a very good experience using the English comments.","positive","english","English comments","manual","unique-169"
"170","mobile layout ko aur testing ki zarurat hai.","negative","english","results dashboard","csv","unique-78"
"171","The charts is acceptable for normal project testing.","neutral","english","charts","review","unique-171"
"172","Guaranteed profit with confidence scores, message us for secret method.","spam","english","confidence scores","chat","unique-172"
"173","word cloud ka output mostly accurate aur helpful hai.","positive","hinglish","word cloud","survey","unique-173"
"174","comment filtering ko aur testing ki zarurat hai.","negative","hinglish","comment filtering","test-case","unique-174"
"175","CSV export me basic options available hain.","neutral","hinglish","CSV export","manual","unique-175"
"176","backend API par guaranteed income, limited seats jaldi join karo.","spam","hinglish","backend API","csv","unique-176"
"177","loading progress की वजह से फीडबैक समझना आसान हुआ।","positive","hindi","loading progress","review","unique-177"
"178","mobile layout को और बेहतर परीक्षण चाहिए।","negative","hindi","mobile layout","chat","unique-178"
"179","error messages में बुनियादी जानकारी मिल जाती है।","neutral","hindi","error messages","survey","unique-179"
"180","duplicate detection पर गारंटीड पैसा, मौका सीमित है।","spam","hindi","overall workflow","test-case","unique-84"
"181","The manual text input is simple for beginners and still useful for advanced users.","positive","english","manual text input","manual","unique-181"
"182","The CSV upload feels unfinished compared with the rest of the app.","negative","english","CSV upload","csv","unique-182"
"183","The column selection has the required options and basic output.","neutral","english","column selection","review","unique-183"
"184","Get free gift card for duplicate detection, share OTP to confirm prize.","spam","english","duplicate detection","chat","unique-184"
"185","sentiment model beginner ke liye bhi easy hai.","positive","hinglish","sentiment model","survey","unique-185"
"186","spam detection ka response kabhi kabhi inconsistent lagta hai.","negative","hinglish","spam detection","test-case","unique-186"
"187","Hinglish handling ka experience neutral laga.","neutral","hinglish","Hinglish handling","manual","unique-187"
"188","Hindi comments gift voucher winner, details send karo now.","spam","hinglish","Hindi comments","csv","unique-188"
"189","English comments नए यूजर के लिए भी सरल है।","positive","hindi","English comments","review","unique-189"
"190","The spam detection feels unfinished compared with the rest of the app.","negative","hindi","results dashboard","chat","unique-86"
"191","charts न बहुत अच्छा है न बहुत खराब।","neutral","hindi","charts","survey","unique-191"
"192","confidence scores गिफ्ट कार्ड जीतने के लिए विवरण भेजें।","spam","hindi","confidence scores","test-case","unique-192"
"193","The word cloud works smoothly and makes the analysis feel reliable.","positive","english","word cloud","manual","unique-193"
"194","The comment filtering feels slow and needs clearer feedback.","negative","english","comment filtering","csv","unique-194"
"195","The CSV export is available and performs the basic task.","neutral","english","CSV export","review","unique-195"
"196","Free sentiment tool premium access for backend API, click this link now.","spam","english","backend API","chat","unique-196"
"197","loading progress bahut smooth hai, analysis karna easy lagta hai.","positive","hinglish","loading progress","survey","unique-197"
"198","mobile layout thoda confusing hai, user ko clear guidance chahiye.","negative","hinglish","mobile layout","test-case","unique-198"
"199","error messages normal kaam karta hai, kuch khas issue nahi mila.","neutral","hinglish","error messages","manual","unique-199"
"200","confidence scores gift voucher winner, details send karo now.","spam","hinglish","overall workflow","csv","unique-92"
"201","manual text input बहुत अच्छा काम करता है और परिणाम साफ दिखते हैं।","positive","hindi","manual text input","review","unique-201"
"202","CSV upload थोड़ा धीमा है और सुधार की जरूरत है।","negative","hindi","CSV upload","chat","unique-202"
"203","column selection सामान्य तरीके से काम करता है।","neutral","hindi","column selection","survey","unique-203"
"204","duplicate detection के लिए मुफ्त इनाम पाने के लिए अभी लिंक खोलें।","spam","hindi","duplicate detection","test-case","unique-204"
"205","I like how the sentiment model is clear, fast, and easy to understand.","positive","english","sentiment model","manual","unique-205"
"206","I found the spam detection confusing during testing.","negative","english","spam detection","csv","unique-206"
"207","I used the Hinglish handling once and it worked in an ordinary way.","neutral","english","Hinglish handling","review","unique-207"
"208","Win cash by reviewing Hindi comments, claim your reward today.","spam","english","Hindi comments","chat","unique-208"
"209","Mujhe English comments ka flow kaafi clear aur useful laga.","positive","hinglish","English comments","survey","unique-209"
"210","The mobile layout feels slow and needs clearer feedback.","negative","hinglish","results dashboard","test-case","unique-98"
"211","charts theek hai, basic requirement complete ho jati hai.","neutral","hinglish","charts","manual","unique-211"
"212","confidence scores review karo aur instant cash jeeto, link open karo.","spam","hinglish","confidence scores","csv","unique-212"
"213","word cloud उपयोग करने में आसान है और समय बचाता है।","positive","hindi","word cloud","review","unique-213"
"214","comment filtering इस्तेमाल करते समय उलझन होती है।","negative","hindi","comment filtering","chat","unique-214"
"215","CSV export में जरूरी विकल्प उपलब्ध हैं।","neutral","hindi","CSV export","survey","unique-215"
"216","backend API पर कैश जीतें, तुरंत अपना नंबर भेजें।","spam","hindi","backend API","test-case","unique-216"
"217","The loading progress gives useful output and saves a lot of review time.","positive","english","loading progress","manual","unique-217"
"218","The mobile layout did not behave as expected with messy comments.","negative","english","mobile layout","csv","unique-218"
"219","The error messages shows the expected information without any major issue.","neutral","english","error messages","review","unique-219"
"220","duplicate detection ke liye free paisa offer, abhi click karo.","spam","english","overall workflow","chat","unique-104"
"221","manual text input mast kaam karta hai, time bhi save hota hai.","positive","hinglish","manual text input","survey","unique-221"
"222","Mujhe CSV upload ka result reliable nahi laga.","negative","hinglish","CSV upload","test-case","unique-222"
"223","column selection expected tarike se chal raha hai.","neutral","hinglish","column selection","manual","unique-223"
"224","duplicate detection bonus claim karne ke liye mobile number bhejo.","spam","hinglish","duplicate detection","csv","unique-224"
"225","sentiment model से विश्लेषण भरोसेमंद लगता है।","positive","hindi","sentiment model","review","unique-225"
"226","spam detection का परिणाम हमेशा भरोसेमंद नहीं लगता।","negative","hindi","spam detection","chat","unique-226"
"227","Hinglish handling ने अपेक्षित काम पूरा किया।","neutral","hindi","Hinglish handling","survey","unique-227"
"228","Hindi comments बोनस पाने के लिए ओटीपी शेयर करें।","spam","hindi","Hindi comments","test-case","unique-228"
"229","Great job on the English comments; it feels polished and practical.","positive","english","English comments","manual","unique-229"
"230","spam detection थोड़ा धीमा है और सुधार की जरूरत है।","negative","english","results dashboard","csv","unique-106"
"231","The charts is functional, but nothing special stands out.","neutral","english","charts","review","unique-231"
"232","Earn money daily using confidence scores, register now and get paid.","spam","english","confidence scores","chat","unique-232"
"233","word cloud se results samajhna simple ho gaya.","positive","hinglish","word cloud","survey","unique-233"
"234","comment filtering me error message clear nahi aata.","negative","hinglish","comment filtering","test-case","unique-234"
"235","CSV export average hai, na bahut good na bad.","neutral","hinglish","CSV export","manual","unique-235"
"236","backend API se daily earning start karo, register now.","spam","hinglish","backend API","csv","unique-236"
"237","loading progress का इंटरफेस साफ और उपयोगी है।","positive","hindi","loading progress","review","unique-237"
"238","mobile layout में गलती आने पर संदेश साफ नहीं होता।","negative","hindi","mobile layout","chat","unique-238"
"239","error messages ठीक है, कोई बड़ी समस्या नहीं दिखी।","neutral","hindi","error messages","survey","unique-239"
"240","Win cash by reviewing confidence scores, claim your reward today.","spam","hindi","overall workflow","test-case","unique-112"
"241","The manual text input is accurate enough for testing real customer feedback.","positive","english","manual text input","manual","unique-241"
"242","The CSV upload sometimes makes the workflow frustrating.","negative","english","CSV upload","csv","unique-242"
"243","The column selection completes the workflow as expected.","neutral","english","column selection","review","unique-243"
"244","Cheap promotion for duplicate detection, buy followers and boost reviews fast.","spam","english","duplicate detection","chat","unique-244"
"245","Project ka sentiment model kaafi professional feel deta hai.","positive","hinglish","sentiment model","survey","unique-245"
"246","spam detection use karte waqt flow break ho jata hai.","negative","hinglish","spam detection","test-case","unique-246"
"247","Hinglish handling ka output simple aur usable hai.","neutral","hinglish","Hinglish handling","manual","unique-247"
"248","Hindi comments ka secret hack chahiye to abhi message karo.","spam","hinglish","Hindi comments","csv","unique-248"
"249","English comments ने पूरे प्रोजेक्ट को बेहतर बना दिया है।","positive","hindi","English comments","review","unique-249"
"250","mobile layout इस्तेमाल करते समय उलझन होती है।","negative","hindi","results dashboard","chat","unique-118"
